n_qubits,n_gates,depth,ideal_0,ideal_1,ideal_2,ideal_3,ideal_4,ideal_5,ideal_6,ideal_7,ideal_8,ideal_9,ideal_10,ideal_11,ideal_12,ideal_13,ideal_14,ideal_15,low_0,low_1,low_2,low_3,low_4,low_5,low_6,low_7,low_8,low_9,low_10,low_11,low_12,low_13,low_14,low_15,moderate_0,moderate_1,moderate_2,moderate_3,moderate_4,moderate_5,moderate_6,moderate_7,moderate_8,moderate_9,moderate_10,moderate_11,moderate_12,moderate_13,moderate_14,moderate_15,high_0,high_1,high_2,high_3,high_4,high_5,high_6,high_7,high_8,high_9,high_10,high_11,high_12,high_13,high_14,high_15
2,14,7,0.3313,0.0589,0.5145,0.0953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3491,0.0835,0.4544,0.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3579,0.1153,0.401,0.1258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3626,0.1396,0.3648,0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,13,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1791,0.0917,0.0683,0.0336,0.0706,0.0698,0.0337,0.0335,0.1159,0.0579,0.0568,0.0287,0.0483,0.0539,0.0276,0.0306,0.1244,0.0929,0.0623,0.0503,0.0662,0.0658,0.0404,0.0358,0.1016,0.0752,0.0568,0.0484,0.0565,0.0596,0.0334,0.0304,0.1169,0.0951,0.0703,0.0549,0.0715,0.0585,0.045,0.0361,0.0966,0.081,0.052,0.045,0.0607,0.0506,0.0348,0.031
2,5,2,0.0,0.0,0.4981,0.5019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0996,0.0899,0.4108,0.3997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1761,0.1624,0.3329,0.3286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2421,0.1919,0.2998,0.2662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4966,0.5034,0.0,0.0,0.0,0.0,0.0276,0.0216,0.0901,0.0703,0.011,0.0095,0.0145,0.0156,0.0721,0.0731,0.2376,0.2158,0.0309,0.0273,0.0444,0.0386,0.0655,0.0503,0.1003,0.0827,0.033,0.0235,0.0347,0.0308,0.0761,0.0766,0.1414,0.1197,0.0407,0.0371,0.0483,0.0393,0.0861,0.0666,0.1038,0.0786,0.0497,0.0408,0.0473,0.0386,0.0812,0.067,0.0988,0.0823,0.0458,0.0351,0.0437,0.0346
3,16,5,0.0611,0.0618,0.2214,0.2197,0.0455,0.046,0.1698,0.1747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1364,0.1179,0.1585,0.1444,0.1009,0.0945,0.1274,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1663,0.1471,0.1332,0.111,0.1323,0.114,0.1061,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1854,0.1566,0.1275,0.1039,0.1415,0.1106,0.0978,0.0767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,9,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1545,0.0757,0.0572,0.043,0.1347,0.0714,0.0493,0.0366,0.0755,0.0489,0.046,0.0304,0.0652,0.0459,0.0377,0.028,0.1475,0.0817,0.0669,0.042,0.1272,0.0676,0.0584,0.035,0.0747,0.0463,0.0495,0.0284,0.0662,0.0389,0.0445,0.0252,0.1381,0.0877,0.0816,0.0463,0.1115,0.0671,0.0596,0.0377,0.0796,0.0464,0.0469,0.0294,0.064,0.0401,0.0404,0.0236
2,5,3,0.8067,0.0,0.1933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5891,0.1212,0.2145,0.0752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4697,0.1927,0.2202,0.1174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.399,0.2243,0.2293,0.1474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11,4,0.0,0.0,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.7252,0.2745,0.0,0.0,0.0,0.0,0.1139,0.0717,0.083,0.068,0.0249,0.0175,0.0228,0.0177,0.1309,0.0839,0.149,0.1011,0.0333,0.0258,0.0373,0.0192,0.1306,0.0974,0.0966,0.0696,0.0522,0.0367,0.0392,0.0284,0.0973,0.0676,0.0902,0.064,0.0404,0.0278,0.0396,0.0224,0.1449,0.0973,0.0988,0.0658,0.0678,0.045,0.0517,0.0341,0.0857,0.0624,0.0623,0.0482,0.043,0.0319,0.0367,0.0244
2,6,3,0.3177,0.2852,0.2091,0.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291,0.2604,0.2345,0.2141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2779,0.2507,0.255,0.2164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2889,0.2387,0.2615,0.2109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,4,0.9678,0.0322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3109,0.153,0.0922,0.0705,0.118,0.1434,0.0561,0.0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2345,0.1515,0.1095,0.0846,0.1324,0.1431,0.0721,0.0723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2213,0.15,0.1189,0.091,0.1359,0.1342,0.0774,0.0713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,16,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4091,0.0,0.5909,0.0,0.0,0.0,0.0,0.0,0.129,0.0787,0.0705,0.0568,0.0505,0.0468,0.032,0.0271,0.117,0.0893,0.0771,0.061,0.0519,0.0433,0.0334,0.0356,0.1462,0.0989,0.0711,0.0569,0.0766,0.0652,0.0428,0.034,0.0894,0.0698,0.054,0.0435,0.0504,0.0434,0.0307,0.0271,0.1419,0.0957,0.0823,0.0602,0.081,0.0647,0.0467,0.0389,0.088,0.0676,0.0475,0.0363,0.0525,0.042,0.0305,0.0242
4,21,8,0.4937,0.0,0.0029,0.0,0.0,0.0,0.0,0.0,0.4993,0.0,0.0041,0.0,0.0,0.0,0.0,0.0,0.0915,0.0752,0.0546,0.0457,0.0704,0.0795,0.0412,0.051,0.0913,0.0674,0.0572,0.0487,0.065,0.0715,0.0419,0.0479,0.0769,0.0724,0.0635,0.0577,0.06,0.0749,0.0457,0.0597,0.0698,0.0744,0.0573,0.061,0.0562,0.0709,0.0466,0.053,0.0718,0.0752,0.0602,0.0656,0.0659,0.0766,0.0572,0.0616,0.0642,0.0694,0.0517,0.055,0.0574,0.0676,0.0496,0.051
4,29,8,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.1674,0.1656,0.0892,0.2116,0.1241,0.0,0.0075,0.0,0.2279,0.0943,0.0532,0.0982,0.0592,0.0473,0.0476,0.0579,0.0516,0.0719,0.0691,0.0872,0.083,0.0433,0.0413,0.0476,0.0473,0.1192,0.0677,0.0998,0.0578,0.0607,0.0423,0.0542,0.0396,0.0798,0.0759,0.0714,0.0647,0.049,0.041,0.0385,0.0384,0.1244,0.0764,0.0972,0.0609,0.0664,0.0475,0.0523,0.0339,0.0797,0.0739,0.0648,0.0578,0.0546,0.0377,0.0389,0.0336
2,13,6,0.1849,0.1876,0.3394,0.2881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2703,0.2283,0.2813,0.2201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3012,0.2463,0.2586,0.1939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3211,0.2555,0.2369,0.1865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,19,6,0.1469,0.1875,0.0807,0.0179,0.324,0.0583,0.1782,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1693,0.1862,0.1025,0.0766,0.172,0.1317,0.103,0.0587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1692,0.189,0.119,0.106,0.1292,0.1257,0.087,0.0749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1734,0.1793,0.1228,0.1268,0.1194,0.1154,0.0817,0.0812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,13,7,0.295,0.4198,0.2639,0.0213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327,0.3306,0.2239,0.1185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3408,0.2931,0.2117,0.1544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3388,0.2868,0.2136,0.1608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,11,7,0.0177,0.0,0.4526,0.5223,0.0,0.0,0.004,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1538,0.1283,0.1422,0.1381,0.1238,0.1018,0.1083,0.1037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1949,0.1407,0.1201,0.1049,0.1551,0.1074,0.0947,0.0822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2074,0.138,0.1198,0.0999,0.1572,0.1064,0.0909,0.0804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,12,7,0.0,0.8006,0.0,0.1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2133,0.1932,0.1078,0.1021,0.1193,0.1051,0.0827,0.0765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2211,0.1929,0.11,0.0921,0.1216,0.1103,0.0834,0.0686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2168,0.1768,0.12,0.0966,0.1278,0.1004,0.0873,0.0743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,15,4,0.0,0.0,0.0134,0.2495,0.0,0.0,0.0136,0.2501,0.0,0.0,0.2404,0.0,0.0,0.0,0.233,0.0,0.0187,0.0437,0.0688,0.1624,0.0156,0.0395,0.0637,0.1429,0.0345,0.0142,0.1273,0.0567,0.0295,0.0141,0.1117,0.0567,0.0419,0.0604,0.0836,0.1224,0.035,0.0525,0.0694,0.1037,0.0418,0.0355,0.0855,0.0698,0.0356,0.0295,0.0746,0.0588,0.0622,0.0729,0.081,0.0995,0.0484,0.0584,0.0711,0.0849,0.0499,0.0507,0.0679,0.0672,0.0391,0.0417,0.0508,0.0543
2,9,5,0.5225,0.4775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4896,0.3697,0.0765,0.0642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4499,0.3108,0.1354,0.1039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4197,0.2682,0.1782,0.1339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,9,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1401,0.0665,0.1251,0.054,0.0681,0.0451,0.0653,0.0396,0.0739,0.054,0.0647,0.0428,0.0479,0.0346,0.0442,0.0341,0.1381,0.0731,0.1226,0.0619,0.0749,0.0412,0.0671,0.0415,0.0793,0.0463,0.0631,0.0482,0.0448,0.03,0.0408,0.0271,0.1406,0.08,0.1062,0.0622,0.0808,0.047,0.0681,0.0411,0.0808,0.0516,0.0647,0.0394,0.0434,0.0294,0.0409,0.0238
4,24,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146,0.0252,0.0966,0.1443,0.1136,0.01,0.3043,0.2914,0.0663,0.0586,0.0632,0.0532,0.0862,0.0793,0.0647,0.0642,0.0594,0.0557,0.0546,0.0512,0.0647,0.0614,0.0595,0.0578,0.0862,0.08,0.0711,0.0594,0.1042,0.0871,0.0755,0.0679,0.052,0.0475,0.0422,0.0378,0.0623,0.0484,0.0421,0.0363,0.1007,0.0786,0.0712,0.064,0.1016,0.0806,0.0716,0.0596,0.0612,0.0481,0.0471,0.0356,0.0596,0.047,0.039,0.0345
3,17,5,0.0074,0.0555,0.0003,0.0014,0.0963,0.8034,0.0041,0.0316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.1256,0.0032,0.0124,0.1522,0.5935,0.0156,0.0665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0596,0.1597,0.0114,0.0266,0.1794,0.4474,0.0322,0.0837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0928,0.1677,0.0254,0.0448,0.1909,0.3347,0.0505,0.0932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,11,7,0.1205,0.0,0.8795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1955,0.0158,0.7324,0.0563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2617,0.0393,0.6033,0.0957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2896,0.0727,0.5123,0.1254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1922,0.0882,0.0709,0.042,0.0917,0.0514,0.0513,0.0235,0.0845,0.0667,0.0488,0.0276,0.0689,0.0387,0.0294,0.0242,0.1402,0.087,0.0754,0.0497,0.0862,0.0571,0.053,0.03,0.0843,0.0626,0.0604,0.0394,0.0647,0.0448,0.0384,0.0268,0.1298,0.0832,0.0799,0.0551,0.0809,0.0545,0.0482,0.0322,0.0954,0.0641,0.0635,0.04,0.0607,0.0419,0.042,0.0286
4,17,8,0.1709,0.1107,0.0,0.0671,0.0,0.0,0.0,0.0,0.3283,0.2012,0.0,0.1218,0.0,0.0,0.0,0.0,0.1531,0.0763,0.1012,0.0703,0.0674,0.0428,0.0582,0.0329,0.0923,0.0521,0.0706,0.0452,0.0464,0.0286,0.0388,0.0238,0.155,0.074,0.1026,0.0706,0.0786,0.0458,0.0611,0.0407,0.0851,0.0477,0.0616,0.0399,0.053,0.0281,0.036,0.0202,0.1514,0.0769,0.1025,0.0627,0.0811,0.0464,0.0631,0.0381,0.0864,0.0517,0.0559,0.0388,0.0513,0.0271,0.04,0.0266
2,9,5,0.5056,0.0,0.4944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.1381,0.3671,0.1248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3241,0.2114,0.2951,0.1694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3189,0.2338,0.2643,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,7,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1015,0.0318,0.301,0.0876,0.0642,0.0236,0.1906,0.0665,0.0138,0.0031,0.0414,0.0143,0.0103,0.0051,0.0339,0.0113,0.1271,0.0634,0.1739,0.0787,0.0868,0.0512,0.1275,0.0671,0.0356,0.0198,0.049,0.024,0.0274,0.0141,0.0363,0.0181,0.1338,0.071,0.1326,0.0691,0.0912,0.0591,0.0955,0.0513,0.0531,0.0308,0.0556,0.0281,0.0412,0.0255,0.0392,0.0229
4,7,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3545,0.0775,0.0985,0.0517,0.1428,0.054,0.0581,0.0304,0.0523,0.0115,0.016,0.0066,0.0246,0.008,0.0088,0.0047,0.2291,0.0829,0.1041,0.0697,0.1243,0.0522,0.0699,0.0413,0.0649,0.0262,0.0295,0.0191,0.0374,0.0164,0.0215,0.0115,0.1897,0.0801,0.1077,0.0693,0.1017,0.0543,0.061,0.0439,0.0776,0.0346,0.0424,0.0264,0.044,0.0234,0.0269,0.017
4,14,6,0.1465,0.0991,0.1495,0.1055,0.1497,0.1021,0.1494,0.0982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1344,0.0896,0.0819,0.0493,0.1141,0.0758,0.0664,0.0447,0.0605,0.0426,0.0464,0.0315,0.0525,0.037,0.0446,0.0287,0.1302,0.0882,0.08,0.0519,0.1141,0.0705,0.0652,0.0429,0.0639,0.0429,0.055,0.0339,0.0565,0.0346,0.0417,0.0285,0.1381,0.0775,0.0824,0.0547,0.1064,0.0711,0.0662,0.0454,0.0713,0.0442,0.052,0.0347,0.0535,0.034,0.0416,0.0269
3,12,8,0.0336,0.0157,0.0007,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1872,0.1243,0.1134,0.0941,0.135,0.1301,0.1325,0.0834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2187,0.1222,0.1348,0.0835,0.1422,0.094,0.1282,0.0764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2154,0.1248,0.1337,0.0867,0.1468,0.0909,0.1273,0.0744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8,2,0.0,0.2568,0.0,0.248,0.0,0.2516,0.0,0.2436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1237,0.1372,0.0626,0.0681,0.07,0.0689,0.0475,0.0473,0.0636,0.0591,0.0516,0.0473,0.0418,0.0453,0.0337,0.0323,0.1399,0.115,0.0732,0.0687,0.075,0.0673,0.0412,0.0406,0.0732,0.0648,0.0489,0.0442,0.0486,0.0405,0.0323,0.0266,0.1377,0.111,0.0789,0.0594,0.0809,0.0657,0.0505,0.04,0.075,0.0666,0.0521,0.0377,0.0472,0.0403,0.0316,0.0254
3,10,6,0.0937,0.0,0.0,0.0,0.9063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1733,0.1153,0.1093,0.0855,0.1781,0.136,0.1097,0.0928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2028,0.1299,0.1302,0.0921,0.1503,0.1111,0.1052,0.0784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.212,0.1325,0.1393,0.0893,0.1552,0.1007,0.1046,0.0664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,17,8,0.6386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,0.0817,0.0687,0.0473,0.0566,0.0408,0.0416,0.0367,0.1216,0.0952,0.0685,0.0512,0.0595,0.0442,0.0426,0.0388,0.1086,0.0857,0.0614,0.0477,0.0567,0.0425,0.0393,0.0374,0.1184,0.0933,0.068,0.0551,0.0544,0.0453,0.0476,0.0386,0.1118,0.0854,0.0635,0.0481,0.0539,0.0465,0.0448,0.0333,0.1147,0.0899,0.067,0.0539,0.0578,0.0473,0.0478,0.0343
2,7,3,0.5472,0.0094,0.007,0.4364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3849,0.1672,0.1545,0.2934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3317,0.2238,0.2064,0.2381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3193,0.2359,0.2351,0.2097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
